School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
MAPLE HILLS ELEMENTARY,2015-16,69,85.5%,7.2%,2.9%,4.3%,0.0%,4.3%,0.0%,0.0%,95.7%,95.7%,98.6%,91.3%,92.8%,94.2%,59,5,2,3,0,3,0,0,3,3,1,6,5,4,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,15644 204TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLE LAWN ELEMENTARY,2015-16,92,87.0%,1.1%,10.9%,1.1%,1.1%,0.0%,0.0%,0.0%,94.6%,94.6%,94.6%,93.5%,94.6%,92.4%,80,1,10,1,1,0,0,0,5,5,5,6,5,7,Y,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,230 WOOD AVE,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MAPLEWOOD CENTER,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,20100 84TH AVE W,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y
MAPLEWOOD ELEMENTARY,2015-16,66,92.4%,1.5%,1.5%,4.5%,1.5%,3.0%,0.0%,0.0%,98.5%,100.0%,97.0%,98.5%,95.5%,93.9%,61,1,1,3,1,2,0,0,1,0,2,1,3,4,Y,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,1110 W PIONEER,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MAPLEWOOD HEIGHTS ELEMENTARY SCHOOL,2015-16,118,96.6%,0.8%,0.0%,2.5%,0.0%,2.5%,0.0%,0.0%,98.3%,98.3%,98.3%,98.3%,99.2%,96.6%,114,1,0,3,0,3,0,0,2,2,2,2,1,4,Y,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,13430 144TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MARCUS WHITMAN ELEMENTARY,2015-16,81,96.3%,2.5%,0.0%,1.2%,1.2%,0.0%,0.0%,0.0%,97.5%,98.8%,97.5%,98.8%,98.8%,97.5%,78,2,0,1,1,0,0,0,2,1,2,1,1,2,Y,PUBLIC SCHOOL,RICHLAND SCHOOL DISTRICT,1704 GRAY,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
MARCUS WHITMAN JUNIOR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SOUTH KITSAP SCHOOL DISTRICT,1887 MADRONA DR SE,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-9,N,N
MARCUS WHITMAN-COWICHE ELEMENTARY,2015-16,84,94.0%,0.0%,4.8%,1.2%,0.0%,1.2%,0.0%,0.0%,98.8%,98.8%,97.6%,98.8%,95.2%,97.6%,79,0,4,1,0,1,0,0,1,1,2,1,4,2,Y,PUBLIC SCHOOL,HIGHLAND SCHOOL DISTRICT,1181 THOMPSON RD,COWICHE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -3,Y,N
MARIE CURIE STEM ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,715 N CALIFORNIA,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,3-6,N,Y
MARINER HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MUKILTEO SCHOOL DISTRICT,200 120TH STREET SW,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MARK MORRIS HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,1602 MARK MORRIS COURT,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
MARK TWAIN ELEMENTARY,2015-16,107,96.3%,1.9%,0.0%,1.9%,0.0%,1.9%,0.0%,0.0%,96.3%,96.3%,98.1%,96.3%,96.3%,98.1%,103,2,0,2,0,2,0,0,4,4,2,4,4,2,Y,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,1801 N ROAD 40,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
MARK TWAIN ELEMENTARY SCHOOL,2015-16,89,89.9%,5.6%,1.1%,3.4%,2.2%,1.1%,0.0%,0.0%,94.4%,94.4%,94.4%,96.6%,96.6%,94.4%,80,5,1,3,2,1,0,0,5,5,5,3,3,5,Y,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,2450 S STAR LAKE RD,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MARLIN HUTTERITE SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,WILSON CREEK SCHOOL DISTRICT,21344 RD 18 NE,WARDEN,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y
MARRION ELEMENTARY SCHOOL,2015-16,83,62.7%,1.2%,28.9%,7.2%,1.2%,3.6%,1.2%,1.2%,72.3%,72.3%,77.1%,66.3%,81.9%,73.5%,52,1,24,6,1,3,1,1,23,23,19,28,15,22,Y,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),10119 NE 14TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
MARSHALL ELEMENTARY,2015-16,64,95.3%,1.6%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,96.9%,96.9%,96.9%,95.3%,98.4%,96.9%,61,1,2,0,0,0,0,0,2,2,2,3,1,2,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,4407 116TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
MARTHA & MARY CHILDREN'S LEARNING CENTER,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,NORTH KITSAP SCHOOL DISTRICT,19282 FRONT ST NE,POULSBO,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-1,Y,N
MARTHA LAKE ELEMENTARY,2015-16,75,84.0%,4.0%,2.7%,9.3%,1.3%,6.7%,1.3%,0.0%,92.0%,92.0%,94.7%,92.0%,89.3%,88.0%,63,3,2,7,1,5,1,0,6,6,4,6,8,9,Y,PUBLIC SCHOOL,EDMONDS SCHOOL DISTRICT,17500 LARCH WAY,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MARTIN LUTHER KING ELEMENTARY,2015-16,77,90.9%,5.2%,2.6%,1.3%,0.0%,1.3%,0.0%,0.0%,92.2%,92.2%,96.1%,94.8%,96.1%,94.8%,70,4,2,1,0,1,0,0,6,6,3,4,3,4,Y,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,4801 IDAHO ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
MARTIN LUTHER KING JR ELEMENTARY,2015-16,102,98.0%,0.0%,1.0%,1.0%,1.0%,0.0%,0.0%,0.0%,99.0%,99.0%,99.0%,99.0%,98.0%,99.0%,100,0,1,1,1,0,0,0,1,1,1,1,2,1,Y,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,2000 S 18TH ST,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,2015-16,41,85.4%,0.0%,12.2%,2.4%,2.4%,0.0%,0.0%,0.0%,95.1%,95.1%,92.7%,92.7%,95.1%,90.2%,35,0,5,1,1,0,0,0,2,2,3,3,2,4,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,7740 34 AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MARTIN SORTUN ELEMENTARY SCHOOL,2015-16,92,91.3%,1.1%,3.3%,4.3%,0.0%,3.3%,1.1%,0.0%,91.3%,91.3%,93.5%,91.3%,95.7%,92.4%,84,1,3,4,0,3,1,0,8,8,6,8,4,7,Y,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,12711 SE 248TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MARVISTA ELEMENTARY,2015-16,93,90.3%,2.2%,0.0%,7.5%,0.0%,7.5%,0.0%,0.0%,95.7%,95.7%,93.5%,94.6%,93.5%,93.5%,84,2,0,7,0,7,0,0,4,4,6,5,6,6,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,19800 MARINE VIEW DR SW,NORMANDY PARK,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MARY M KNIGHT ELEMENTARY,2015-16,11,54.5%,18.2%,27.3%,0.0%,0.0%,0.0%,0.0%,0.0%,72.7%,72.7%,81.8%,63.6%,63.6%,81.8%,6,2,3,0,0,0,0,0,3,3,2,4,4,2,Y,PUBLIC SCHOOL,MARY M KNIGHT SCHOOL DISTRICT,1500 W BEEVILLE LOOP RD,ELMA,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
MARY M KNIGHT HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARY M KNIGHT SCHOOL DISTRICT,2987 W MATLOCK BRADY RD,ELMA,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N
MARY PURCELL ELEMENTARY SCHOOL,2015-16,44,93.2%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,95.5%,97.7%,95.5%,100.0%,95.5%,41,3,0,0,0,0,0,0,2,2,1,2,0,2,Y,PUBLIC SCHOOL,SEDRO-WOOLLEY SCHOOL DISTRICT,700 BENNETT STREET,SEDRO-WOOLLEY,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
MARY WALKER HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARY WALKER SCHOOL DISTRICT,PO BOX 159,SPRINGDALE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,7204 27TH AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MARYSVILLE COOP PROGRAM,2015-16,48,81.3%,0.0%,6.3%,12.5%,2.1%,10.4%,0.0%,0.0%,81.3%,81.3%,81.3%,81.3%,87.5%,83.3%,39,0,3,6,1,5,0,0,9,9,9,9,6,8,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,2415 74TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
MARYSVILLE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,4923 67TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
MARYSVILLE MOUNTAIN VIEW HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,4317 76TH ST NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
MASON,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,3901 N 28TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MASON COUNTY CHRISTIAN SCHOOL,2015-16,13,30.8%,23.1%,38.5%,7.7%,0.0%,7.7%,0.0%,0.0%,53.8%,61.5%,53.8%,38.5%,53.8%,46.2%,4,3,5,1,0,1,0,0,6,5,6,8,6,7,Y,PRIVATE SCHOOL,SHELTON SCHOOL DISTRICT,470 E EAGLE RIDGE DR,SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
MATHEIA SCHOOL,2015-16,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,2205 NW 67TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
MATTAWA ELEMENTARY,2015-16,83,91.6%,0.0%,8.4%,0.0%,0.0%,0.0%,0.0%,0.0%,92.8%,92.8%,92.8%,92.8%,97.6%,92.8%,76,0,7,0,0,0,0,0,6,6,6,6,2,6,Y,PUBLIC SCHOOL,WAHLUKE SCHOOL DISTRICT,P.O. BOX 907,MATTAWA,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MATTSON MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,16400 SE 251ST ST,COVINGTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
MAYA ANGELOU ELEMENTARY,2015-16,113,96.5%,1.8%,0.0%,1.8%,0.9%,0.9%,0.0%,0.0%,100.0%,100.0%,98.2%,100.0%,98.2%,98.2%,109,2,0,2,1,1,0,0,0,0,2,0,2,2,Y,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,6001 ROAD 84,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
MAYFLOWER CHRISTIAN SCHOOL,2015-16,5,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,CLE ELUM-ROSLYN SCHOOL DISTRICT,541 E 3RD ST,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,P-1,Y,N
MAYWOOD HILLS ELEMENTARY,2015-16,209,91.9%,0.0%,2.9%,5.3%,1.9%,3.8%,0.0%,0.0%,96.7%,96.7%,95.7%,96.2%,95.2%,95.7%,192,0,6,11,4,8,0,0,7,7,9,8,10,9,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,19510 104 AV NE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
MAYWOOD MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,14490 168TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MC DONALD ELEMENTARY,2015-16,78,87.2%,2.6%,5.1%,5.1%,2.6%,5.1%,0.0%,0.0%,96.2%,96.2%,94.9%,93.6%,91.0%,88.5%,68,2,4,4,2,4,0,0,3,3,4,5,7,9,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,4400 INTERLAKE AV N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MCALDER ELEMENTARY - CASCADE CHRISTIAN SCHOOL,2015-16,16,62.5%,0.0%,18.8%,18.8%,0.0%,18.8%,0.0%,0.0%,87.5%,87.5%,87.5%,81.3%,100.0%,87.5%,10,0,3,3,0,3,0,0,2,2,2,3,0,2,Y,PRIVATE SCHOOL,SUMNER SCHOOL DISTRICT,15502 96TH ST E,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y
MCAULIFFE ELEMENTARY,2015-16,80,88.8%,0.0%,7.5%,3.8%,0.0%,3.8%,0.0%,0.0%,97.5%,97.5%,95.0%,93.8%,96.3%,97.5%,71,0,6,3,0,3,0,0,2,2,4,5,3,2,Y,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,23823 NE 22ND,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MCCARVER ELEMENTARY SCHOOL,2015-16,52,90.4%,0.0%,7.7%,1.9%,0.0%,1.9%,0.0%,0.0%,90.4%,98.1%,92.3%,92.3%,94.2%,92.3%,47,0,4,1,0,1,0,0,5,1,4,4,3,4,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,2111 S J ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
MCCLEARY ELEM,2015-16,43,72.1%,0.0%,23.3%,4.7%,0.0%,4.7%,0.0%,0.0%,76.7%,76.7%,76.7%,76.7%,76.7%,74.4%,31,0,10,2,0,2,0,0,10,10,10,10,10,11,Y,PUBLIC SCHOOL,MCCLEARY SCHOOL DISTRICT,611 S. MAIN ST.,MCCLEARY,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-8,Y,Y
MCCLURE ELEMENTARY SCHOOL,2015-16,103,97.1%,1.0%,0.0%,1.9%,1.0%,1.0%,0.0%,0.0%,99.0%,99.0%,100.0%,98.1%,99.0%,100.0%,100,1,0,2,1,1,0,0,1,1,0,2,1,0,Y,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,1222 S 2ND AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MCCLURE ELEMENTARY SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,GRANDVIEW SCHOOL DISTRICT,811 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
MCCLURE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1915 1 AV W,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MCDERMOTH ELEMENTARY,2015-16,52,80.8%,17.3%,0.0%,1.9%,0.0%,1.9%,0.0%,0.0%,90.4%,90.4%,84.6%,90.4%,94.2%,84.6%,42,9,0,1,0,1,0,0,5,5,8,5,3,8,Y,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,409 NORTH K ST,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
MCDONALD ELEMENTARY SCHOOL,2015-16,58,89.7%,1.7%,3.4%,5.2%,0.0%,5.2%,0.0%,0.0%,91.4%,93.1%,94.8%,94.8%,94.8%,93.1%,52,1,2,3,0,3,0,0,5,4,3,3,3,4,Y,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,1512 S. MCDONALD RD.,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
MCFARLAND MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,OTHELLO SCHOOL DISTRICT,790 S 10TH AVE,OTHELLO,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
MCGILVRA ELEMENTARY SCHOOL,2015-16,52,92.3%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,94.2%,94.2%,96.2%,94.2%,94.2%,94.2%,48,0,4,0,0,0,0,0,3,3,2,3,3,3,Y,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1617 38 AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
MCKENNA ELEMENTARY,2015-16,64,87.5%,3.1%,6.3%,3.1%,0.0%,3.1%,0.0%,0.0%,90.6%,90.6%,93.8%,90.6%,92.2%,92.2%,56,2,4,2,0,2,0,0,6,6,4,6,5,5,Y,PUBLIC SCHOOL,YELM SCHOOL DISTRICT,PO BOX 476,YELM,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
MCKENNY ELEMENTARY,2015-16,46,80.4%,2.2%,15.2%,2.2%,0.0%,2.2%,0.0%,0.0%,87.0%,87.0%,89.1%,84.8%,87.0%,89.1%,37,1,7,1,0,1,0,0,6,6,5,7,6,5,Y,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,3250 MORSE MERRYMAN RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
MCKINLEY ELEMENTARY SCHOOL,2015-16,71,94.4%,5.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.2%,97.2%,98.6%,95.8%,98.6%,95.8%,67,4,0,0,0,0,0,0,2,2,1,3,1,3,Y,PUBLIC SCHOOL,YAKIMA SCHOOL DISTRICT,621 S 13TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
MCKNIGHT MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,1200 EDMONDS AVE NE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
MCLANE ELEMENTARY SCHOOL,2015-16,40,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,90.0%,95.0%,92.5%,95.0%,92.5%,32,0,8,0,0,0,0,0,4,4,2,3,2,3,Y,PUBLIC SCHOOL,OLYMPIA SCHOOL DISTRICT,200 DELPHI RD SW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
MCLOUGHLIN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,2803 N ROAD 88,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
MCLOUGHLIN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,5802 MACARTHUR BLVD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
MCMICKEN HEIGHTS ELEMENTARY,2015-16,79,62.0%,0.0%,38.0%,0.0%,0.0%,0.0%,0.0%,0.0%,67.1%,67.1%,72.2%,62.0%,82.3%,65.8%,49,0,30,0,0,0,0,0,26,26,22,30,14,27,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,3708 S 168TH ST,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
MCMURRAY MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,VASHON ISLAND SCHOOL DISTRICT,9329 SW CEMETERY RD,VASHON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
