School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
MINNEHAHA ELEMENTARY SCHOOL,2016-17,Y,76,86.8%,1.3%,3.9%,7.9%,0.0%,7.9%,0.0%,0.0%,88.2%,88.2%,88.2%,89.5%,89.5%,88.2%,66,1,3,6,0,6,0,0,9,9,9,8,8,9,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,2800 NE 54TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
MINT VALLEY ELEMENTARY,2016-17,Y,69,95.7%,2.9%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,95.7%,66,2,1,0,0,0,0,0,0,0,0,0,0,3,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,2745 38TH AVENUE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
MINTER CREEK ELEMENTARY,2016-17,Y,57,89.5%,1.8%,0.0%,8.8%,0.0%,8.8%,0.0%,0.0%,98.2%,98.2%,94.7%,98.2%,96.5%,91.2%,51,1,0,5,0,5,0,0,1,1,3,1,2,5,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,12617 118TH AVE NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MIRROR LAKE ELEMENTARY SCHOOL,2016-17,Y,70,84.3%,4.3%,5.7%,5.7%,0.0%,5.7%,0.0%,0.0%,90.0%,90.0%,88.6%,100.0%,97.1%,85.7%,59,3,4,4,0,4,0,0,7,7,8,0,2,10,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,625 S 314TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
MISSION CREEK CHRISTIAN EDUCATION CENTER,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SOUTH BEND SCHOOL DISTRICT,51 HAROLD YOUNG RD,SOUTH BEND,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,6-12,0,1,
MISSION VIEW ELEMENTARY SCHOOL,2016-17,Y,101,94.1%,1.0%,3.0%,2.0%,1.0%,1.0%,0.0%,0.0%,96.0%,96.0%,95.0%,96.0%,97.0%,94.1%,95,1,3,2,1,1,0,0,4,4,5,4,3,6,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,60 TERMINAL AVENUE,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
MMSC DAY SCHOOL,2016-17,Y,9,33.3%,0.0%,55.6%,11.1%,0.0%,11.1%,0.0%,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,3,0,5,1,0,1,0,0,6,6,6,6,6,6,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,8511 15TH AVENUE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,1,1,
MONARCH ACADEMY,2016-17,Y,11,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,CLARKSTON SCHOOL DISTRICT,1465 POPLAR STREET,CLARKSTON,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,1,1,
MONROE CHRISTIAN SCHOOL,2016-17,Y,2,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,50.0%,100.0%,100.0%,50.0%,1,1,0,0,0,0,0,0,0,0,1,0,0,1,PRIVATE SCHOOL,MONROE SCHOOL DISTRICT,1009 W MAIN ST,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,1,1,
MONROE ELEMENTARY,2016-17,Y,112,84.8%,2.7%,3.6%,8.9%,2.7%,8.0%,0.0%,0.0%,92.9%,92.9%,90.2%,92.0%,92.9%,86.6%,95,3,4,10,3,9,0,0,8,8,11,9,8,15,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,10901 27TH AVE. SE,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
MONROE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MONROE SCHOOL DISTRICT,17001 TESTER RD.,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MONROE MONTESSORI SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,MONROE SCHOOL DISTRICT,733 VILLAGE WAY,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K+,1,0,
MONTE CRISTO ELEMENTARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANITE FALLS SCHOOL DISTRICT,1201 100TH ST NE,GRANITE FALLS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
MONTESANO JR-SR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MONTESANO SCHOOL DISTRICT,303 NORTH CHURCH,MONTESANO,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-12,0,0,
MONTESANO LEARNING ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MONTESANO SCHOOL DISTRICT,MONTESANO LEARNING ACADEMY,MONTESANO,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-13,0,0,
MONTESSORI AT SAMISH WOODS,2016-17,Y,12,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,100.0%,100.0%,91.7%,75.0%,75.0%,75.0%,9,0,0,3,0,3,0,0,0,0,1,3,3,3,PRIVATE SCHOOL,BELLINGHAM SCHOOL DISTRICT,1027 SAMISH WAY,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-6,1,1,
MONTESSORI CHILDREN'S HOUSE,2016-17,Y,16,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,16,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,5003 218TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,1,1,
MONTESSORI CHILDRENS HOUSE OF LONGVIEW,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,LONGVIEW SCHOOL DISTRICT,3137 COLUMBIA HEIGHTS RD,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,PK-K,1,0,
MONTESSORI COUNTRY SCHOOL - CHILDREN'S HOUSE,2016-17,Y,12,66.7%,0.0%,0.0%,33.3%,8.3%,25.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,66.7%,66.7%,8,0,0,4,1,3,0,0,3,3,3,3,4,4,PRIVATE SCHOOL,BAINBRIDGE ISLAND SCHOOL DISTRICT,10994 ARROW POINT DR,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-1,1,0,
MONTESSORI COUNTRY SCHOOL - ELEMENTARY CAMPUS,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BAINBRIDGE ISLAND SCHOOL DISTRICT,8225 HIGH SCHOOL ROAD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,1,0,
MONTESSORI SCHOOL OF PULLMAN,2016-17,Y,11,90.9%,0.0%,0.0%,9.1%,9.1%,0.0%,0.0%,0.0%,90.9%,100.0%,90.9%,100.0%,100.0%,90.9%,10,0,0,1,1,0,0,0,1,0,1,0,0,1,PRIVATE SCHOOL,PULLMAN SCHOOL DISTRICT,115 NW STATE ST,PULLMAN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-3,1,0,
MONTESSORI SCHOOL OF YAKIMA,2016-17,Y,15,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,YAKIMA SCHOOL DISTRICT,511 N 44TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-5,1,0,
MONTESSORI SCHOOLS OF SNOHOMISH CO.,2016-17,Y,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,EVERETT SCHOOL DISTRICT,1804 PUGET DR,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,1,1,
MONTICELLO MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,1225 28TH AVENUE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,
MONTLAKE ELEMENTARY SCHOOL,2016-17,Y,44,79.5%,0.0%,11.4%,9.1%,0.0%,9.1%,0.0%,0.0%,86.4%,86.4%,88.6%,84.1%,90.9%,86.4%,35,0,5,4,0,4,0,0,6,6,5,7,4,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,2409 22 AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MONUMENT ELEMENTARY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,QUINCY SCHOOL DISTRICT,1400 13TH AVENUE SW,QUINCY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,4-6,0,1,
MOORLANDS ELEMENTARY,2016-17,Y,90,95.6%,1.1%,0.0%,3.3%,1.1%,2.2%,0.0%,0.0%,96.7%,96.7%,97.8%,96.7%,97.8%,96.7%,86,1,0,3,1,2,0,0,3,3,2,3,2,3,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,15115 84 AV NE,KENMORE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
MORAN PRAIRIE ELEMENTARY,2016-17,Y,66,87.9%,0.0%,1.5%,10.6%,4.5%,6.1%,1.5%,1.5%,95.5%,95.5%,95.5%,95.5%,95.5%,90.9%,58,0,1,7,3,4,1,1,3,3,3,3,3,6,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,4224 E 57TH AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,
MORGAN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ELLENSBURG SCHOOL DISTRICT,400 E FIRST,ELLENSBURG,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,6-8,0,1,
MORGEN OWINGS ELEMENTARY SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE CHELAN SCHOOL DISTRICT,407 E WOODIN AVE,CHELAN,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
MORNINGSIDE ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,201 WESTLAKE AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-10,0,1,
MORRIS FORD MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FRANKLIN PIERCE SCHOOL DISTRICT,1602 104TH STREET EAST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
MORRIS SCHOTT ELEMENTARY,2016-17,Y,35,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,35,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WAHLUKE SCHOOL DISTRICT,P.O. BOX 907,MATTAWA,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,
MORTON ELEMENTARY SCHOOL,2016-17,Y,18,66.7%,0.0%,27.8%,5.6%,5.6%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,77.8%,66.7%,12,0,5,1,1,0,0,0,6,6,6,6,4,6,PUBLIC SCHOOL,MORTON SCHOOL DISTRICT,PO BOX L,MORTON,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,
MORTON JUNIOR-SENIOR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MORTON SCHOOL DISTRICT,PO BOX F,MORTON,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,7-12,0,0,
MOSES LAKE CHRISTIAN ACADEMY,2016-17,Y,13,61.5%,7.7%,15.4%,15.4%,0.0%,15.4%,0.0%,0.0%,76.9%,76.9%,69.2%,69.2%,84.6%,69.2%,8,1,2,2,0,2,0,0,3,3,4,4,2,4,PRIVATE SCHOOL,MOSES LAKE SCHOOL DISTRICT,1475 NELSON ROAD NE,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,1,1,
MOSES LAKE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,803 E. SHARON AVE.,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,
MOSSYROCK ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSSYROCK SCHOOL DISTRICT,P.O. BOX 478,MOSSYROCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -12,1,1,
MOSSYROCK ELEMENTARY SCHOOL,2016-17,Y,43,86.0%,4.7%,7.0%,2.3%,0.0%,2.3%,0.0%,0.0%,88.4%,88.4%,88.4%,90.7%,97.7%,86.0%,37,2,3,1,0,1,0,0,5,5,5,4,1,6,PUBLIC SCHOOL,MOSSYROCK SCHOOL DISTRICT,P O BOX 455,MOSSYROCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,
MOSSYROCK JR./SR. HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSSYROCK SCHOOL DISTRICT,PO BOX 454,MOSSYROCK,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,7-12,0,0,
MOUNT ADAMS MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT ADAMS SCHOOL DISTRICT,P.O. BOX 578,WHITE SWAN,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-8,0,0,
MOUNT BAKER ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT BAKER SCHOOL DISTRICT,PO BOX 9,ACME,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,1,1,
MOUNT BAKER JUNIOR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT BAKER SCHOOL DISTRICT,5100 MITCHELL RD,DEMING,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,
MOUNT BAKER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT VERNON SCHOOL DISTRICT,2310 E SECTION ST,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,
MOUNT BAKER SENIOR HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT BAKER SCHOOL DISTRICT,4936 DEMING RD,DEMING,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MOUNT ERIE ELEMENTARY,2016-17,Y,39,76.9%,10.3%,2.6%,10.3%,2.6%,7.7%,0.0%,0.0%,89.7%,89.7%,84.6%,87.2%,87.2%,84.6%,30,4,1,4,1,3,0,0,4,4,6,5,5,6,PUBLIC SCHOOL,ANACORTES SCHOOL DISTRICT,1313 41ST STREET,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,
MOUNT PLEASANT ELEMENTARY SCHOOL,2016-17,Y,8,50.0%,0.0%,37.5%,12.5%,12.5%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,50.0%,100.0%,4,0,3,1,1,0,0,0,0,0,0,0,4,0,PUBLIC SCHOOL,MOUNT PLEASANT SCHOOL DISTRICT,152 MARBLE RD.,WASHOUGAL,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -6,1,1,
MOUNT RAINIER HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,22450 19TH AVE S,DES MOINES,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
MOUNT SI HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,8651 MEADOWBROOK WAY SE,SNOQUALMIE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
MOUNT VERNON CHRISTIAN SCHOOL,2016-17,Y,18,50.0%,0.0%,44.4%,5.6%,0.0%,5.6%,0.0%,0.0%,61.1%,61.1%,77.8%,77.8%,77.8%,61.1%,9,0,8,1,0,1,0,0,7,7,4,4,4,7,PRIVATE SCHOOL,MOUNT VERNON SCHOOL DISTRICT,820 W BLACKBURN RD,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,1,1,
MOUNT VERNON HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT VERNON SCHOOL DISTRICT,314 N 9TH ST,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
MOUNT VIEW ELEMENTARY,2016-17,Y,116,65.5%,0.0%,34.5%,0.0%,0.0%,0.0%,0.0%,0.0%,86.2%,86.2%,82.8%,84.5%,87.9%,87.1%,76,0,40,0,0,0,0,0,16,16,20,18,14,15,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,11427 3RD AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
MOUNTAIN MEADOW ELEMENTARY,2016-17,Y,88,88.6%,1.1%,0.0%,10.2%,3.4%,6.8%,0.0%,0.0%,93.2%,93.2%,92.0%,89.8%,94.3%,93.2%,78,1,0,9,3,6,0,0,6,6,7,9,5,6,PUBLIC SCHOOL,WHITE RIVER SCHOOL DISTRICT,PO BOX 2390,BUCKLEY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
MOUNTAIN VIEW CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,RIDGEFIELD SCHOOL DISTRICT,2810 NE 259TH ST,RIDGEFIELD,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-8,1,1,
MOUNTAIN VIEW CHRISTIAN SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEQUIM SCHOOL DISTRICT,255 MEDSKER RD,SEQUIM,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-8,1,1,
MOUNTAIN VIEW ELEMENTARY,2016-17,Y,110,91.8%,0.0%,4.5%,3.6%,0.0%,3.6%,0.0%,0.0%,95.5%,95.5%,97.3%,95.5%,94.5%,97.3%,101,0,5,4,0,4,0,0,5,5,3,5,6,3,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,1900 COLLEGE ST SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,
MOUNTAIN VIEW ELEMENTARY,2016-17,Y,113,97.3%,0.9%,0.9%,0.9%,0.0%,0.0%,0.9%,0.0%,98.2%,98.2%,98.2%,99.1%,99.1%,98.2%,110,1,1,1,0,0,1,0,2,2,2,1,1,2,PUBLIC SCHOOL,QUINCY SCHOOL DISTRICT,119 D ST NW,QUINCY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -3,1,0,
MOUNTAIN VIEW ELEMENTARY,2016-17,Y,93,88.2%,1.1%,9.7%,1.1%,0.0%,1.1%,0.0%,0.0%,93.5%,93.5%,93.5%,92.5%,93.5%,91.4%,82,1,9,1,0,1,0,0,6,6,6,7,6,8,PUBLIC SCHOOL,SHELTON SCHOOL DISTRICT,"534 E. ""K"" ST.",SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,PK-5,1,0,
MOUNTAIN VIEW HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),1500 SE BLAIRMONT DR,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,
MOUNTAIN VIEW MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BREMERTON SCHOOL DISTRICT,2400 PERRY AVENUE,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,0,1,
MOUNTAIN VIEW MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,10920 199TH AVE CT E,BONNEY LAKE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
