School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
THREE POINTS ELEMENTARY,2013-14,29,96.6%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,96.6%,100.0%,96.6%,96.6%,100.0%,96.6%,28,1,0,0,0,0,0,0,1,0,1,1,0,1,Y,BELLEVUE SCHOOL DISTRICT,7800 NE 28TH ST,MEDINA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
THREE RIVERS CHRISTIAN SCHOOL--KELSO JR./SR. HIGH CAMPUS,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,KELSO SCHOOL DISTRICT,1209 MINOR RD,KELSO,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,8-12,N,N
THREE RIVERS CHRISTIAN SCHOOL-LONGVIEW ELEM,2013-14,18,94.4%,0.0%,0.0%,5.6%,0.0%,5.6%,0.0%,0.0%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,17,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,LONGVIEW SCHOOL DISTRICT,2610 OCEAN BEACH HWY,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,P-12,Y,Y
THREE RIVERS HOME LINK,2013-14,32,50.0%,0.0%,28.1%,21.9%,0.0%,21.9%,0.0%,0.0%,78.1%,78.1%,78.1%,78.1%,78.1%,78.1%,16,0,9,7,0,7,0,0,7,7,7,7,7,7,Y,RICHLAND SCHOOL DISTRICT,975 GILLESPIE STREET,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -12,Y,Y
THREE SPRINGS HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CHENEY SCHOOL DISTRICT,520 FOURTH STREET,CHENEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
THREE TREE MONTESSORI,2013-14,17,29.4%,41.2%,11.8%,17.6%,0.0%,17.6%,0.0%,0.0%,76.5%,76.5%,47.1%,52.9%,70.6%,47.1%,5,7,2,3,0,3,0,0,4,4,9,8,5,9,Y,HIGHLINE SCHOOL DISTRICT,220 SW 160TH ST,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
THUNDER MOUNTAIN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ENUMCLAW SCHOOL DISTRICT,42018 264TH AVENUE SE,ENUMCLAW,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
THURGOOD MARSHALL ELEMENTARY,2013-14,34,64.7%,0.0%,35.3%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,79.4%,73.5%,82.4%,79.4%,22,0,12,0,0,0,0,0,0,0,7,9,6,7,Y,SEATTLE PUBLIC SCHOOLS,2401 S IRVING ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
THURGOOD MARSHALL MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OLYMPIA SCHOOL DISTRICT,3939 20TH AVE NW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
TIETON INTERMEDIATE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLAND SCHOOL DISTRICT,PO BOX 6,TIETON,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,4-6,N,Y
TIFFANY PARK ELEMENTARY SCHOOL,2013-14,70,88.6%,0.0%,0.0%,11.4%,1.4%,10.0%,0.0%,0.0%,91.4%,91.4%,88.6%,90.0%,90.0%,88.6%,62,0,0,8,1,7,0,0,6,6,8,7,7,8,Y,RENTON SCHOOL DISTRICT,1601 LAKE YOUNGS WAY SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TIGER MOUNTAIN COMMUNITY HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,355 SE EVANS LN,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TILDEN SCHOOL,2013-14,16,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,4105 CALIFORNIA AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
TILLICUM ELEMENTARY SCHOOL,2013-14,61,78.7%,4.9%,14.8%,1.6%,1.6%,0.0%,0.0%,0.0%,83.6%,83.6%,86.9%,85.2%,96.7%,86.9%,48,3,9,1,1,0,0,0,10,10,8,9,2,8,Y,CLOVER PARK SCHOOL DISTRICT,8514 MAPLE ST SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
TILLICUM MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,16020 SE 16TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TIMBERCREST JUNIOR HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,19115 215 WY NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
TIMBERLINE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,6120 MULLEN RD SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TLC MONTESSORI,2013-14,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,21512 NE 16TH ST,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
TODD BEAMER HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FEDERAL WAY SCHOOL DISTRICT,35999 16TH AV S,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TOLEDO ELEMENTARY SCHOOL,2013-14,50,52.0%,0.0%,48.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,58.0%,54.0%,58.0%,52.0%,26,0,24,0,0,0,0,0,20,20,21,23,21,24,Y,TOLEDO SCHOOL DISTRICT,PO BOX 549,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N
TOLEDO HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOLEDO SCHOOL DISTRICT,PO BOX 820,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TOLEDO MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOLEDO SCHOOL DISTRICT,PO BOX 668,TOLEDO,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
TOLT MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,RIVERVIEW SCHOOL DISTRICT,3740 TOLT AVE,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TONASKET ELEMENTARY SCHOOL,2013-14,79,86.1%,1.3%,8.9%,3.8%,1.3%,1.3%,1.3%,0.0%,91.1%,91.1%,88.6%,91.1%,93.7%,87.3%,68,1,7,3,1,1,1,0,7,7,9,7,5,10,Y,TONASKET SCHOOL DISTRICT,35ES HIGHWAY 20,TONASKET,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-5,Y,N
TONASKET HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TONASKET SCHOOL DISTRICT,35HS HIGHWAY 20,TONASKET,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
TONASKET MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TONASKET SCHOOL DISTRICT,35MS HIGHWAY 20,TONASKET,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,N,Y
TOPPENISH HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOPPENISH SCHOOL DISTRICT,141 WARD ROAD,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
TOPPENISH MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOPPENISH SCHOOL DISTRICT,104 GOLDENDALE AVENUE,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-8,N,Y
TOPS K-8 SCHOOL,2013-14,53,79.2%,0.0%,13.2%,7.5%,1.9%,5.7%,0.0%,0.0%,100.0%,100.0%,86.8%,90.6%,88.7%,88.7%,42,0,7,4,1,3,0,0,0,0,7,5,6,6,Y,SEATTLE PUBLIC SCHOOLS,2500 FRANKLIN AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y
TORAH DAY SCHOOL OF SEATTLE,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,3528 S FERDINAND ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
TOTEM FALLS,2013-14,45,93.3%,0.0%,0.0%,6.7%,0.0%,6.7%,0.0%,0.0%,97.8%,97.8%,95.6%,95.6%,93.3%,95.6%,42,0,0,3,0,3,0,0,1,1,2,2,3,2,Y,SNOHOMISH SCHOOL DISTRICT,14211 SNOHOMISH-CASCADE DRIVE,SNOHOMISH,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
TOTEM MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FEDERAL WAY SCHOOL DISTRICT,26630 40TH AVE S,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TOTEM MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MARYSVILLE SCHOOL DISTRICT,1605 7TH ST,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
TOUCHET ELEM AND HIGH SCHOOL,2013-14,12,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOUCHET SCHOOL DISTRICT,PO BOX 135,TOUCHET,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -12,Y,Y
TOUTLE LAKE ELEMENTARY,2013-14,44,88.6%,0.0%,2.3%,9.1%,0.0%,9.1%,0.0%,0.0%,90.9%,90.9%,88.6%,90.9%,97.7%,88.6%,39,0,1,4,0,4,0,0,4,4,5,4,1,5,Y,TOUTLE LAKE SCHOOL DISTRICT,5050 SPIRIT LAKE HWY,TOUTLE,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y
TOUTLE LAKE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TOUTLE LAKE SCHOOL DISTRICT,5050 SPIRIT LAKE HWY,TOUTLE,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,7-12,N,N
TRENT ELEMENTARY,2013-14,93,75.3%,4.3%,15.1%,5.4%,0.0%,5.4%,0.0%,0.0%,84.9%,84.9%,87.1%,82.8%,90.3%,83.9%,70,4,14,5,0,5,0,0,14,14,12,16,9,15,Y,EAST VALLEY SCHOOL DISTRICT (SPOKANE),3303 N PINES RD,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-7,Y,Y
TRENTWOOD ELEMENTARY SCHOOL,2013-14,75,85.3%,0.0%,2.7%,12.0%,6.7%,5.3%,0.0%,0.0%,93.3%,93.3%,92.0%,93.3%,93.3%,89.3%,64,0,2,9,5,4,0,0,5,5,6,5,5,8,Y,EAST VALLEY SCHOOL DISTRICT (SPOKANE),14701 E WELLESLEY AVE,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-7,Y,Y
TRI-CITIES PREP,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PASCO SCHOOL DISTRICT,9612 ST THOMAS DR,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
TRI-CITY JUNIOR ACADEMY,2013-14,7,71.4%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,71.4%,71.4%,71.4%,100.0%,71.4%,5,2,0,0,0,0,0,0,2,2,2,2,0,2,Y,PASCO SCHOOL DISTRICT,4115 W HENRY ST,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,P-10,Y,Y
TRINITY CATHOLIC SCHOOL,2013-14,24,87.5%,8.3%,0.0%,4.2%,0.0%,4.2%,0.0%,0.0%,95.8%,95.8%,95.8%,95.8%,95.8%,87.5%,21,2,0,1,0,1,0,0,1,1,1,1,1,3,Y,SPOKANE SCHOOL DISTRICT,1306 W MONTGOMERY AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
TRINITY REFORMED CHRISTIAN SCHOOL,2013-14,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SUNNYSIDE SCHOOL DISTRICT,1505 GRANT AVE,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,1-8,N,Y
TROUT LAKE ELEMENTARY,2013-14,9,55.6%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,66.7%,77.8%,66.7%,77.8%,5,0,4,0,0,0,0,0,2,2,3,2,3,2,Y,TROUT LAKE SCHOOL DISTRICT,PO BOX 488,TROUT LAKE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -4,Y,N
TROUT LAKE SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,TROUT LAKE SCHOOL DISTRICT,PO BOX 488,TROUT LAKE,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,5-12,N,Y
TRUMAN MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,5801 N 35TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TUKES VALLEY MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,20601 NE 167TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
TUKES VALLEY PRIMARY,2013-14,135,80.0%,4.4%,8.1%,7.4%,2.2%,4.4%,0.7%,0.0%,89.6%,89.6%,88.1%,91.1%,88.9%,85.2%,108,6,11,10,3,6,1,0,14,14,16,12,15,20,Y,BATTLE GROUND SCHOOL DISTRICT,20601 NE 167TH AVE,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-4,Y,N
TUKWILA ELEMENTARY,2013-14,86,88.4%,0.0%,9.3%,2.3%,0.0%,2.3%,0.0%,0.0%,96.5%,96.5%,91.9%,95.3%,96.5%,95.3%,76,0,8,2,0,2,0,0,3,3,7,4,3,4,Y,TUKWILA SCHOOL DISTRICT,5939 S 149TH ST,TUKWILA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
TULALIP ELEMENTARY,2013-14,68,67.6%,4.4%,27.9%,0.0%,0.0%,0.0%,0.0%,0.0%,77.9%,77.9%,80.9%,77.9%,89.7%,75.0%,46,3,19,0,0,0,0,0,15,15,13,15,7,17,Y,MARYSVILLE SCHOOL DISTRICT,7730 36TH AVE NW,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
TUMWATER HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUMWATER SCHOOL DISTRICT,700 ISRAEL ROAD,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TUMWATER HILL ELEMENTARY,2013-14,59,59.3%,1.7%,35.6%,3.4%,0.0%,3.4%,0.0%,0.0%,74.6%,74.6%,78.0%,69.5%,78.0%,72.9%,35,1,21,2,0,2,0,0,15,15,13,18,13,16,Y,TUMWATER SCHOOL DISTRICT,3120 RIDGEVIEW ST SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
TUMWATER MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUMWATER SCHOOL DISTRICT,6335 LITTLEROCK ROAD SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,7-8,N,N
TWAIN ELEMENTARY,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,LAKE WASHINGTON SCHOOL DISTRICT,9525 130TH AVE NE,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TWIN CEDARS HIGH SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CONCRETE SCHOOL DISTRICT,45389 AIRPORT WAY,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,10-12,N,N
TWIN CITY ELEMENTARY,2013-14,46,15.2%,0.0%,82.6%,2.2%,2.2%,0.0%,0.0%,0.0%,34.8%,34.8%,34.8%,28.3%,45.7%,30.4%,7,0,38,1,1,0,0,0,30,30,30,33,25,32,Y,STANWOOD-CAMANO SCHOOL DISTRICT,26211 72ND AVE NW,STANWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
TWIN FALLS MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,46910 S.E. MIDDLE FORK ROAD,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TWIN LAKES ELEMENTARY SCHOOL,2013-14,60,86.7%,0.0%,6.7%,6.7%,0.0%,6.7%,0.0%,0.0%,91.7%,91.7%,88.3%,96.7%,95.0%,90.0%,52,0,4,4,0,4,0,0,5,5,7,2,3,6,Y,FEDERAL WAY SCHOOL DISTRICT,4400 SW 320TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
TWO RIVERS SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,330 BALLARAT AVE N,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
TYEE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,11650 SE 60TH,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
TYEE PARK ELEMENTARY SCHOOL,2013-14,89,91.0%,6.7%,1.1%,1.1%,0.0%,0.0%,1.1%,0.0%,95.5%,95.5%,95.5%,96.6%,98.9%,93.3%,81,6,1,1,0,0,1,0,4,4,4,3,1,6,Y,CLOVER PARK SCHOOL DISTRICT,11920 SEMINOLE RD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
UCIC SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,NORTHSHORE SCHOOL DISTRICT,3727 240TH ST SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
UNASSIGNED SPECIAL EDUCATION,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,20420 68TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y
UNION GAP SCHOOL,2013-14,74,68.9%,0.0%,31.1%,0.0%,0.0%,0.0%,0.0%,0.0%,81.1%,81.1%,86.5%,81.1%,91.9%,86.5%,51,0,23,0,0,0,0,0,14,14,10,14,6,10,Y,UNION GAP SCHOOL DISTRICT,3200 S. 2ND STREET,UNION GAP,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-8,Y,Y
UNION HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),6201 NW FRIBERG-STRUNK ST,CAMAS,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
UNION RIDGE ELEMENTARY,2013-14,94,85.1%,2.1%,5.3%,7.4%,3.2%,4.3%,0.0%,0.0%,86.2%,85.1%,84.0%,84.0%,88.3%,84.0%,80,2,5,7,3,4,0,0,13,14,15,15,11,15,Y,RIDGEFIELD SCHOOL DISTRICT,330 NORTH FIFTH AVENUE,RIDGEFIELD,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y
UNIVERSITY CHILD DEVELOPMENT SCHOOL,2013-14,52,86.5%,0.0%,7.7%,5.8%,0.0%,5.8%,0.0%,0.0%,100.0%,100.0%,96.2%,98.1%,90.4%,92.3%,45,0,4,3,0,3,0,0,0,0,2,1,5,4,Y,SEATTLE PUBLIC SCHOOLS,5062 9TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
