School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
TRUMAN ELEMENTARY SCHOOL,2017-18,Y,92,68.5%,7.6%,19.6%,4.3%,1.1%,3.3%,0.0%,0.0%,75.0%,75.0%,77.2%,78.3%,85.9%,73.9%,63,7,18,4,1,3,0,0,23,23,21,20,13,24,Public,Vancouver School District,4505 NE 42ND AVE,Vancouver,CLARK,Educational Service District 112,1,0
BURTON ELEMENTARY SCHOOL,2017-18,Y,56,75.0%,3.6%,7.1%,14.3%,1.8%,12.5%,0.0%,0.0%,82.1%,82.1%,82.1%,80.4%,83.9%,82.1%,42,2,4,8,1,7,0,0,10,10,10,11,9,10,Public,Evergreen School District (Clark),14015 NE 28th Street,Vancouver,CLARK,Educational Service District 112,1,0
FORKS ELEMENTARY SCHOOL,2017-18,Y,84,88.1%,1.2%,1.2%,9.5%,7.1%,2.4%,0.0%,0.0%,91.7%,91.7%,92.9%,90.5%,91.7%,91.7%,74,1,1,8,6,2,0,0,7,7,6,8,7,7,Public,Quillayute Valley School District,301 South Elderberry Ave,Forks,CLALLAM,Olympic Educational Service District 114,1,0
LAKE DOLLOFF ELEMENTARY SCHOOL,2017-18,Y,234,93.6%,0.0%,3.4%,3.0%,0.0%,2.1%,0.4%,0.4%,94.4%,94.4%,94.0%,94.9%,95.7%,94.0%,219,0,8,7,0,5,1,1,13,13,14,12,10,14,Public,Federal Way School District,4200 S 308TH ST,Auburn,KING,Puget Sound Educational Service District 121,1,0
SOUTHWOOD ELEMENTARY SCHOOL,2017-18,Y,58,84.5%,0.0%,6.9%,8.6%,1.7%,8.6%,0.0%,0.0%,89.7%,89.7%,93.1%,91.4%,89.7%,89.7%,49,0,4,5,1,5,0,0,6,6,4,5,6,6,Public,Enumclaw School District,3240 McDougall Avenue,Enumclaw,KING,Puget Sound Educational Service District 121,1,0
TALBOT HILL ELEMENTARY,2017-18,Y,85,92.9%,1.2%,1.2%,4.7%,4.7%,1.2%,0.0%,0.0%,98.8%,98.8%,96.5%,97.6%,100.0%,96.5%,79,1,1,4,4,1,0,0,1,1,3,2,0,3,Public,Renton School District,2300 TALBOT RD S,RENTON,KING,Educational Service District 101,1,0
LINDBERGH HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Renton School District,16426 128TH AVE SE,RENTON,KING,Educational Service District 101,0,0
Cherry Crest Elementary,2017-18,Y,87,81.6%,0.0%,14.9%,3.4%,3.4%,1.1%,0.0%,0.0%,93.1%,93.1%,88.5%,89.7%,92.0%,83.9%,71,0,13,3,3,1,0,0,6,6,10,9,7,14,Public,Bellevue School District,12400 NE 32nd Street,Bellevue,KING,Puget Sound Educational Service District 121,1,0
EVERGREEN HEIGHTS ELEMENTARY,2017-18,Y,78,85.9%,1.3%,7.7%,5.1%,0.0%,5.1%,0.0%,0.0%,89.7%,89.7%,87.2%,88.5%,94.9%,85.9%,67,1,6,4,0,4,0,0,8,8,10,9,4,11,Public,Auburn School District,5602 S 316TH ST,Auburn,KING,Puget Sound Educational Service District 121,1,0
Apollo Elementary,2017-18,Y,105,91.4%,1.9%,0.0%,6.7%,1.9%,4.8%,0.0%,0.0%,95.2%,95.2%,95.2%,94.3%,94.3%,93.3%,96,2,0,7,2,5,0,0,5,5,5,6,6,7,Public,Issaquah School District,15025 SE 117TH ST,Renton,KING,Puget Sound Educational Service District 121,1,0
SANDBURG ELEMENTARY,2017-18,Y,63,93.7%,1.6%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,96.8%,96.8%,98.4%,95.2%,98.4%,95.2%,59,1,3,0,0,0,0,0,2,2,1,3,1,3,Public,Lake Washington School District,12801 - 84th Ave NE,Kirkland,KING,Puget Sound Educational Service District 121,1,0
MUIR ELEMENTARY,2017-18,Y,72,73.6%,1.4%,19.4%,5.6%,0.0%,5.6%,0.0%,0.0%,91.7%,91.7%,90.3%,90.3%,90.3%,87.5%,53,1,14,4,0,4,0,0,6,6,7,7,7,9,Public,Lake Washington School District,14012 132nd AVE NE,Kirkland,KING,Puget Sound Educational Service District 121,1,0
WOODIN ELEMENTARY,2017-18,Y,89,68.5%,1.1%,30.3%,0.0%,0.0%,0.0%,0.0%,0.0%,80.9%,80.9%,80.9%,79.8%,83.1%,80.9%,61,1,27,0,0,0,0,0,17,17,17,18,15,17,Public,Northshore School District,12950 NE 195 ST,Bothell,KING,Puget Sound Educational Service District 121,1,1
BALLOU JR HIGH,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Puyallup School District,9916 136th St E,Puyallup,PIERCE,Puget Sound Educational Service District 121,0,0
SPANAWAY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bethel School District,15701 B St E,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
EISENHOWER MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Everett School District,10200 25th Ave. SE,Everett,SNOHOMISH,Northwest Educational Service District 189,0,1
SUNNYCREST ELEMENTARY,2017-18,Y,127,87.4%,0.8%,7.9%,3.9%,0.0%,3.9%,0.0%,0.0%,89.8%,89.8%,91.3%,89.0%,94.5%,89.0%,111,1,10,5,0,5,0,0,13,13,11,14,7,14,Public,Lake Stevens School District,3411 99TH AVE NE,Lake Stevens,SNOHOMISH,Northwest Educational Service District 189,1,0
College Place Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,7501 208TH ST SW,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,0,0
Lynnwood High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,18218 NORTH RD,Bothell,KING,Northwest Educational Service District 189,0,0
Garry Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,725 E Joseph Ave,Spokane,SPOKANE,Educational Service District 121,0,0
FARWELL ELEMENTARY SCHOOL,2017-18,Y,98,87.8%,3.1%,2.0%,7.1%,0.0%,7.1%,0.0%,0.0%,91.8%,92.9%,92.9%,92.9%,92.9%,90.8%,86,3,2,7,0,7,0,0,8,7,7,7,7,9,Public,Mead School District,13005 N CRESTLINE,Spokane,SPOKANE,Educational Service District 101,1,1
SALNAVE ELEMENTARY,2017-18,Y,67,76.1%,4.5%,16.4%,3.0%,0.0%,3.0%,0.0%,0.0%,82.1%,82.1%,85.1%,82.1%,88.1%,85.1%,51,3,11,2,0,2,0,0,12,12,10,12,8,10,Public,Cheney School District,1015 SALNAVE ROAD,Cheney,SPOKANE,Educational Service District 101,1,0
Vista Middle School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Ferndale School District,6051 Vista Dr.,Ferndale,WHATCOM,Northwest Educational Service District 189,0,0
Oakbrook Elementary School,2017-18,Y,44,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,7802 83rd AVE SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,1,0
Meeker Middle,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kent School District,12600 SE 192nd St,Renton,KING,Puget Sound Educational Service District 121,0,0
Decatur High School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Federal Way School District,2800 SW 320TH ST,Federal Way,KING,Puget Sound Educational Service District 121,0,0
JUANITA SR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,10601 NE 132ND,Kirkland,KING,Puget Sound Educational Service District 121,0,0
AKI KUROSE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,3928 S GRAHAM ST,Seattle,KING,Puget Sound Educational Service District 121,0,1
SOUTH LAKE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,8601 Rainier Ave S,Seattle,KING,Puget Sound Educational Service District 121,0,0
NORTH ELEMENTARY,2017-18,Y,56,78.6%,0.0%,14.3%,7.1%,5.4%,1.8%,0.0%,0.0%,78.6%,78.6%,78.6%,78.6%,83.9%,78.6%,44,0,8,4,3,1,0,0,12,12,12,12,9,12,Public,Moses Lake School District,1200 WEST CRAIG STREET,Moses Lake,GRANT,North Central Educational Service District 171,1,0
CASCADE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Evergreen School District (Clark),13900 NE 18th Street,Vancouver,CLARK,Educational Service District 112,0,1
UNION RIDGE ELEMENTARY,2017-18,Y,125,92.8%,0.8%,0.0%,6.4%,2.4%,2.4%,1.6%,0.0%,93.6%,93.6%,94.4%,93.6%,92.8%,94.4%,116,1,0,8,3,3,2,0,8,8,7,8,9,7,Public,Ridgefield School District,330 NORTH FIFTH AVENUE,Ridgefield,CLARK,Educational Service District 112,1,1
OCEAN SHORES ELEMENTARY SCHOOL,2017-18,Y,39,84.6%,2.6%,12.8%,0.0%,0.0%,0.0%,0.0%,0.0%,87.2%,87.2%,92.3%,84.6%,97.4%,92.3%,33,1,5,0,0,0,0,0,5,5,3,6,1,3,Public,North Beach School District,300 Mt. Olympus Way,Ocean Shores,GRAYS HARBOR,Educational Service District 113,1,1
NORTH BEACH JUNIOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Beach School District,336 WA 115,Ocean Shores,GRAYS HARBOR,Educational Service District 113,0,0
Somerset Elementary,2017-18,Y,68,80.9%,0.0%,11.8%,7.4%,1.5%,5.9%,0.0%,0.0%,89.7%,89.7%,91.2%,92.6%,91.2%,82.4%,55,0,8,5,1,4,0,0,7,7,6,5,6,12,Public,Bellevue School District,14100 Somerset Boulevard SE,Bellevue,KING,Puget Sound Educational Service District 121,1,0
Leota Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Northshore School District,19301 168 AV NE,Woodinville,KING,Puget Sound Educational Service District 121,0,0
FAIRVIEW MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Central Kitsap School District,8107 Central Valley Rd NW,Bremerton,KITSAP,Olympic Educational Service District 114,0,0
Freeman Elementary School,2017-18,Y,45,88.9%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,0.0%,91.1%,91.1%,91.1%,91.1%,91.1%,88.9%,40,0,0,5,0,5,0,0,4,4,4,4,4,5,Public,Freeman School District,14917 S Jackson Rd,Rockford,SPOKANE,Educational Service District 101,1,0
TENINO MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tenino School District,301 Old Hwy 99 SE,Tenino,THURSTON,Educational Service District 113,0,1
BLAINE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Blaine School District,975 H STREET,Blaine,WHATCOM,Northwest Educational Service District 189,0,1
SURPRISE LAKE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Fife School District,2001 Milton Way,Milton,PIERCE,Puget Sound Educational Service District 121,0,1
WIND RIVER MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Stevenson-Carson School District,16800 16th Dr NE,Stevenson,SKAMANIA,Educational Service District 112,0,0
GRAND MOUND ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Rochester School District,7710 James Rd SW,Rochester,THURSTON,Educational Service District 113,0,0
DEARBORN PARK ELEMENTARY SCHOOL,2017-18,Y,52,78.8%,0.0%,21.2%,0.0%,0.0%,0.0%,0.0%,0.0%,90.4%,90.4%,86.5%,92.3%,88.5%,88.5%,41,0,11,0,0,0,0,0,5,5,7,4,6,6,Public,Seattle Public Schools,2820 S ORCAS ST,Seattle,KING,Puget Sound Educational Service District 121,1,0
WALDRON ISLAND SCHOOL,2017-18,Y,1,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,1,0,0,0,0,0,1,1,1,1,1,1,Public,Orcas Island School District,1 SCHOOL ROAD,Waldron Island,SAN JUAN,Northwest Educational Service District 189,1,1
Secondary Academy For Success,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Northshore School District,22107 23rd Dr SE,Bothell,KING,Puget Sound Educational Service District 121,0,0
MARTIN LUTHER KING JR ELEMENTARY,2017-18,Y,95,93.7%,1.1%,3.2%,2.1%,2.1%,0.0%,0.0%,0.0%,94.7%,94.7%,94.7%,95.8%,97.9%,94.7%,89,1,3,2,2,0,0,0,5,5,5,4,2,5,Public,Yakima School District,2000 S 18th St,Yakima,YAKIMA,Educational Service District 105,1,0
Excelsior,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,3754 W Indian Trail Rd,Spokane,SPOKANE,Educational Service District 101,0,0
LAVENTURE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mount Vernon School District,1200 LaVenture Rd,Mount Vernon,SKAGIT,Northwest Educational Service District 189,0,0
CRESTLINE ELEMENTARY SCHOOL,2017-18,Y,96,46.9%,1.0%,49.0%,3.1%,0.0%,3.1%,0.0%,0.0%,62.5%,62.5%,59.4%,54.2%,72.9%,59.4%,45,1,47,3,0,3,0,0,36,36,39,44,26,39,Public,Evergreen School District (Clark),13003 SE Seventh Street,Vancouver,CLARK,Educational Service District 112,1,0
SILVER STAR ELEMENTARY SCHOOL,2017-18,Y,84,59.5%,3.6%,27.4%,9.5%,1.2%,8.3%,0.0%,0.0%,64.3%,64.3%,70.2%,70.2%,79.8%,67.9%,50,3,23,8,1,7,0,0,30,30,25,25,17,27,Public,Evergreen School District (Clark),10500 NE 86th Street,Vancouver,CLARK,Educational Service District 112,1,0
ALPAC ELEMENTARY SCHOOL,2017-18,Y,111,82.9%,0.0%,10.8%,6.3%,0.0%,5.4%,0.9%,0.0%,86.5%,86.5%,87.4%,85.6%,93.7%,86.5%,92,0,12,7,0,6,1,0,15,15,14,16,7,15,Public,Auburn School District,310 MILWAUKEE BLVD N,Pacific,KING,Puget Sound Educational Service District 121,1,0
SALTARS POINT ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Steilacoom Hist. School District,908 3RD STREET,Steilacoom,PIERCE,Puget Sound Educational Service District 121,0,0
COLVILLE JUNIOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Colville School District,990 S Cedar St,Colville,STEVENS,Educational Service District 101,0,1
HANFORD HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Richland School District,450 Hanford Street,Richland,BENTON,Educational Service District 123,0,0
SOUTHWORTH ELEMENTARY,2017-18,Y,113,93.8%,1.8%,0.0%,4.4%,0.0%,4.4%,0.0%,0.0%,95.6%,95.6%,94.7%,96.5%,97.3%,93.8%,106,2,0,5,0,5,0,0,5,5,6,4,3,7,Public,Yelm School District,13849 Yelm Hwy SE,Yelm,THURSTON,Educational Service District 113,1,1
NORTHWOOD MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mead School District,13120 N PITTSBURG,Spokane,SPOKANE,Educational Service District 101,0,0
Scriber Lake High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,23200 100th AVE W,Edmonds,SNOHOMISH,Northwest Educational Service District 189,0,0
EMERSON HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,10903 NE 53rd ST,Kirkland,KING,Puget Sound Educational Service District 121,0,0
COMMUNITY SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,11133 NE 65th,Kirkland,KING,Puget Sound Educational Service District 121,0,0
HARBOR HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Aberdeen School District,300 N. Williams,Aberdeen,GRAYS HARBOR,Educational Service District 113,0,0
Holden Village Community School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Chelan School District,HCOO Stop 2,Chelan,CHELAN,North Central Educational Service District 171,1,1
NOVA HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,300 20 AVE E,Seattle,KING,Puget Sound Educational Service District 121,0,0
LICTON SPRINGS K-8,2017-18,Y,31,71.0%,0.0%,29.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.9%,83.9%,80.6%,77.4%,80.6%,71.0%,22,0,9,0,0,0,0,0,5,5,6,7,6,9,Public,Seattle Public Schools,11530 12 AV NE,Seattle,KING,Puget Sound Educational Service District 121,1,1
Pine Lake Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Issaquah School District,3200 228TH AVE SE,Sammamish,KING,Puget Sound Educational Service District 121,0,1
Foss High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tacoma School District,2112 S Tyler St,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
Evergreen Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Central Valley School District,14221 E 16th Avenue,Spokane Valley,SPOKANE,Educational Service District 101,0,1
VIEW RIDGE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Ridgefield School District,510 PIONEER STREET,Ridgefield,CLARK,Educational Service District 112,0,0
LAKEWOOD MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lakewood School District,205 E Idaho Ave,North Lakewood,SNOHOMISH,Northwest Educational Service District 189,0,1
SPRINGDALE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mary Walker School District,500 N 4th Street,Springdale,STEVENS,Educational Service District 101,0,0
SUNRISE ELEMENTARY,2017-18,Y,63,88.9%,0.0%,9.5%,1.6%,0.0%,1.6%,0.0%,0.0%,90.5%,100.0%,93.7%,90.5%,96.8%,92.1%,56,0,6,1,0,1,0,0,6,0,4,6,2,5,Public,Puyallup School District,2323 39th Ave SE,Puyallup,PIERCE,Puget Sound Educational Service District 121,1,1
ILLAHEE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Federal Way School District,36001 1st AVE S,Federal Way,KING,Puget Sound Educational Service District 121,0,1
LA CONNER MIDDLE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,La Conner School District,305 N 6th St,La Conner,SKAGIT,Northwest Educational Service District 189,0,1
GAISER MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vancouver School District,3000 NE 99th St,Vancouver,CLARK,Educational Service District 112,0,1
WARDEN MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Warden School District,101 W. BECK WAY,Warden,GRANT,North Central Educational Service District 171,0,1
Oak Grove Elementary School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,8805 Steilacoom Blvd SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,1,1
NEW HORIZONS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Pasco School District,3110 ARGENT ROAD,Pasco,FRANKLIN,Educational Service District 123,0,1
LONGVIEW SCHOOL DISTRICT SPECIAL SERVICES,2017-18,Y,68,86.8%,1.5%,11.8%,0.0%,0.0%,0.0%,0.0%,0.0%,88.2%,88.2%,91.2%,88.2%,100.0%,89.7%,59,1,8,0,0,0,0,0,8,8,6,8,0,7,Public,Longview School District,5300 Mt Solo Rd,Longview,COWLITZ,Educational Service District 112,0,0
SHOREWOOD HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Shoreline School District,17300 Fremont Avenue N.,Shoreline,KING,Puget Sound Educational Service District 121,0,0
KAMIAKIN MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lake Washington School District,14111 132ND AVE NE,Kirkland,KING,Puget Sound Educational Service District 121,0,1
TUMWATER WEST,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tumwater School District,7741 LITTLEROCK RD SW,Tumwater,THURSTON,Educational Service District 113,0,1
ENTERPRISE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Richland School District,5200 Paradise Way,West Richland,BENTON,Educational Service District 123,0,1
NORTHWOOD ELEMENTARY,2017-18,Y,76,92.1%,0.0%,1.3%,6.6%,1.3%,5.3%,0.0%,0.0%,96.1%,98.7%,94.7%,96.1%,93.4%,94.7%,70,0,1,5,1,4,0,0,3,1,4,3,5,4,Public,Puyallup School District,9805 24th St E,Edgewood,PIERCE,Puget Sound Educational Service District 121,1,1
Chester Elementary School,2017-18,Y,67,83.6%,0.0%,10.4%,7.5%,0.0%,7.5%,0.0%,0.0%,86.6%,89.6%,86.6%,94.0%,86.6%,88.1%,56,0,7,5,0,5,0,0,9,7,9,4,9,8,Public,Central Valley School District,3525 S Pines Road,Spokane Valley,SPOKANE,Educational Service District 101,1,0
MERIDIAN MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Meridian School District,861 TEN MILE ROAD,Lynden,WHATCOM,Northwest Educational Service District 189,0,1
LEWIS AND CLARK HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Vancouver School District,2901 GENERAL ANDERSON AVE,Vancouver,CLARK,Educational Service District 112,0,0
BARKER CREEK COMMUNITY SCHOOL,2017-18,Y,13,84.6%,0.0%,15.4%,0.0%,0.0%,0.0%,0.0%,0.0%,84.6%,84.6%,92.3%,92.3%,92.3%,92.3%,11,0,2,0,0,0,0,0,2,2,1,1,1,1,Public,Central Kitsap School District,10120 Frontier Place NW,Silverdale,KITSAP,Olympic Educational Service District 114,0,0
MAPLE VIEW MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tahoma School District,22615 Sweeney Road SE,Maple Valley,KING,Puget Sound Educational Service District 121,0,1
NORTH WHIDBEY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Oak Harbor School District,67 NE Izett St.,Oak Harbor,ISLAND,Northwest Educational Service District 189,0,1
KIRK ELEMENTARY,2017-18,Y,88,64.8%,0.0%,30.7%,4.5%,0.0%,4.5%,0.0%,0.0%,80.7%,79.5%,78.4%,76.1%,86.4%,78.4%,57,0,27,4,0,4,0,0,17,18,19,21,12,19,Public,Lake Washington School District,1312 6th Street,Kirkland,KING,Puget Sound Educational Service District 121,1,0
EVERGREEN ELEMENTARY SCHOOL,2017-18,Y,78,87.2%,10.3%,0.0%,2.6%,0.0%,2.6%,0.0%,0.0%,91.0%,91.0%,89.7%,92.3%,94.9%,92.3%,68,8,0,2,0,2,0,0,7,7,8,6,4,6,Public,Sedro-Woolley School District,1007 McGarigle Road,Sedro-Woolley,SKAGIT,Northwest Educational Service District 189,1,1
MERIDIAN PARK ELEMENTARY,2017-18,Y,202,92.6%,2.0%,0.5%,5.0%,0.5%,4.5%,0.0%,0.0%,93.1%,93.1%,95.0%,93.6%,96.0%,93.6%,187,4,1,10,1,9,0,0,14,14,10,13,8,13,Public,Shoreline School District,17077 Meridian Avenue N.,Shoreline,KING,Puget Sound Educational Service District 121,1,1
CAPITAL HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Olympia School District,2707 CONGER AVE NW,Olympia,THURSTON,Educational Service District 113,0,0
KIONA-BENTON MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kiona-Benton City School District,1107 Grace Avenue,Benton City,BENTON,Educational Service District 123,0,1
Liberty High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Issaquah School District,16655 SE 136TH ST,Renton,KING,Puget Sound Educational Service District 121,0,0
LIBERTY ELEMENTARY,2017-18,Y,68,92.6%,1.5%,0.0%,5.9%,2.9%,1.5%,1.5%,0.0%,94.1%,94.1%,94.1%,94.1%,95.6%,92.6%,63,1,0,4,2,1,1,0,4,4,4,4,3,5,Public,Marysville School District,1919 10th St,Marysville,SNOHOMISH,Northwest Educational Service District 189,1,0
